Customer_ID,State,City,Zip Code,Customer_Gender,Senior_Customer,Has_Partner,Has_Dependents,Customer_Tenure_Months,Phone_Service,Multiple_Lines,Digital_Service,Security_Product,Backup_Product,Device_Protection,Customer_Support,Entertainment_Service,Media_Service,Account_Contract,Digital_Billing,Payment_Method,Monthly_Revenue,Lifetime_Revenue,Customer_Churn,Churn_Flag,Customer_Lifetime_Value,Tenure_Category,Revenue_Segment,Customer_Value_Segment
0390-DCFDQ,California,Los Alamitos,90720,Female,Yes,Yes,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,70.45,70.45,Yes,1,3964,New Customer,Medium Revenue,High Value
4080-OGPJL,California,San Pedro,90731,Female,No,No,No,8,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,71.15,563.65,Yes,1,2662,New Customer,Medium Revenue,Standard Value
2135-RXIHG,California,Carson,90745,Male,No,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.65,45.65,Yes,1,2600,New Customer,Low Revenue,Standard Value
3874-EQOEP,California,Long Beach,90804,Male,No,No,Yes,7,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,95.0,655.5,Yes,1,2786,New Customer,Medium Revenue,Standard Value
0867-MKZVY,California,Altadena,91001,Female,No,Yes,Yes,20,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,82.4,1592.35,Yes,1,5719,Established Customer,Medium Revenue,Premium Value
3376-BMGFE,California,Monrovia,91016,Female,No,No,Yes,4,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),70.9,273.0,Yes,1,4287,New Customer,Medium Revenue,High Value
3445-HXXGF,California,Sierra Madre,91024,Male,Yes,Yes,No,58,No,No phone service,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,45.3,2651.2,Yes,1,5444,Loyal Customer,Low Revenue,Premium Value
1875-QIVME,California,Tujunga,91042,Female,No,Yes,Yes,2,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.4,242.8,Yes,1,4690,New Customer,High Revenue,High Value
0691-JVSYA,California,Pasadena,91103,Female,No,Yes,No,53,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),94.85,5000.2,Yes,1,4328,Loyal Customer,Medium Revenue,High Value
2656-FMOKZ,California,Pasadena,91106,Female,Yes,No,Yes,15,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,74.45,1145.7,Yes,1,5717,Established Customer,Medium Revenue,Premium Value
2070-FNEXE,California,Pasadena,91107,Female,Yes,No,Yes,7,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),76.45,503.6,Yes,1,4419,New Customer,Medium Revenue,High Value
6317-YPKDH,California,Glendale,91202,Female,No,No,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),29.95,29.95,Yes,1,4534,New Customer,Low Revenue,High Value
9367-WXLCH,California,Glendale,91204,Male,No,No,Yes,8,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),84.5,662.65,Yes,1,2152,New Customer,Medium Revenue,Standard Value
1918-ZBFQJ,California,Glendale,91206,Female,No,No,Yes,13,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,79.25,1111.65,Yes,1,5142,Established Customer,Medium Revenue,Premium Value
1024-GUALD,California,Glendale,91207,Female,No,Yes,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,24.8,24.8,Yes,1,4851,New Customer,Low Revenue,High Value
2472-OVKUP,California,Canoga Park,91304,Male,No,Yes,Yes,6,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,91.0,531.0,Yes,1,2283,New Customer,Medium Revenue,Standard Value
1285-OKIPP,California,Mission Hills,91345,Male,No,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,79.9,79.9,Yes,1,3394,New Customer,Medium Revenue,High Value
7825-ECJRF,California,Santa Clarita,91350,Female,No,No,Yes,19,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,106.6,1934.45,Yes,1,3764,Established Customer,High Revenue,High Value
7841-TZDMQ,California,Sun Valley,91352,Male,No,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),46.0,84.5,Yes,1,2667,New Customer,Low Revenue,Standard Value
9408-SSNVZ,California,Stevenson Ranch,91381,Female,No,No,Yes,4,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.15,268.35,Yes,1,2227,New Customer,Medium Revenue,Standard Value
0742-MOABM,California,Panorama City,91402,Male,No,Yes,No,4,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,50.05,179.35,Yes,1,3394,New Customer,Medium Revenue,High Value
2232-DMLXU,California,Van Nuys,91411,Female,No,Yes,No,1,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,55.2,55.2,Yes,1,3638,New Customer,Medium Revenue,High Value
8937-RDTHP,California,Burbank,91504,Male,No,No,Yes,1,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,84.6,84.6,Yes,1,2484,New Customer,Medium Revenue,Standard Value
1251-KRREG,California,North Hollywood,91601,Male,No,No,No,2,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,54.4,114.1,Yes,1,2556,New Customer,Medium Revenue,Standard Value
0094-OIFMO,California,North Hollywood,91605,Female,Yes,No,Yes,11,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.0,1120.3,Yes,1,5980,New Customer,Medium Revenue,Premium Value
9947-OTFQU,California,Covina,91722,Male,Yes,No,No,15,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,74.4,1074.3,Yes,1,4616,Established Customer,Medium Revenue,High Value
0322-YINQP,California,Covina,91723,Male,No,No,No,1,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,48.55,48.55,Yes,1,5687,New Customer,Low Revenue,Premium Value
4629-NRXKX,California,El Monte,91731,Female,No,Yes,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,70.4,147.15,Yes,1,5687,New Customer,Medium Revenue,Premium Value
9514-JDSKI,California,El Monte,91732,Male,Yes,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,40.2,40.2,Yes,1,5828,New Customer,Low Revenue,Premium Value
4959-JOSRX,California,La Puente,91744,Female,No,Yes,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),44.6,80.55,Yes,1,4884,New Customer,Low Revenue,High Value
7273-TEFQD,California,La Puente,91746,Male,Yes,No,No,3,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,41.15,132.2,Yes,1,2314,New Customer,Low Revenue,Standard Value
3606-TWKGI,California,Rowland Heights,91748,Male,Yes,No,No,13,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.9,1364.3,Yes,1,2494,Established Customer,High Revenue,Standard Value
6323-AYBRX,California,Ontario,91762,Male,No,No,No,59,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.35,1099.6,Yes,1,5084,Loyal Customer,Low Revenue,Premium Value
4385-GZQXV,California,Ontario,91764,Female,Yes,No,No,16,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,94.45,1511.2,Yes,1,3810,Established Customer,Medium Revenue,High Value
6366-ZGQGL,California,Pomona,91766,Male,No,No,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),24.8,24.8,Yes,1,5087,New Customer,Low Revenue,Premium Value
5940-AHUHD,California,Pomona,91768,Male,No,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,70.6,70.6,Yes,1,3338,New Customer,Medium Revenue,High Value
6432-TWQLB,California,Rosemead,91770,Male,No,Yes,No,5,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,85.4,401.1,Yes,1,3676,New Customer,Medium Revenue,High Value
4484-GLZOU,California,San Dimas,91773,Female,No,Yes,No,52,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.05,5624.85,Yes,1,4839,Loyal Customer,High Revenue,High Value
9512-UIBFX,California,West Covina,91791,Male,No,Yes,No,18,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,95.15,1779.95,Yes,1,4643,Established Customer,Medium Revenue,High Value
5583-SXDAG,California,Alhambra,91803,Male,No,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,70.0,70.0,Yes,1,4094,New Customer,Medium Revenue,High Value
3488-PGMQJ,California,Alpine,91901,Male,Yes,No,No,8,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,74.5,606.55,Yes,1,4345,New Customer,Medium Revenue,High Value
3580-REOAC,California,Bonita,91902,Male,No,No,No,10,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),44.85,435.4,Yes,1,4061,New Customer,Low Revenue,High Value
7534-BFESC,California,Boulevard,91905,Male,Yes,No,No,24,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.1,1712.7,Yes,1,2018,Established Customer,Medium Revenue,Standard Value
6390-DSAZX,California,Guatay,91931,Female,No,No,No,1,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,73.6,73.6,Yes,1,2565,New Customer,Medium Revenue,Standard Value
8098-LLAZX,California,Jacumba,91934,Female,Yes,No,No,4,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,396.1,Yes,1,3677,New Customer,Medium Revenue,High Value
0265-EDXBD,California,Mount Laguna,91948,Male,Yes,Yes,No,32,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.9,2303.35,Yes,1,4105,Established Customer,Medium Revenue,High Value
7563-BIUPC,California,Borrego Springs,92004,Male,No,No,No,5,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.6,415.55,Yes,1,5715,New Customer,Medium Revenue,Premium Value
2321-OMBXY,California,Carlsbad,92009,Female,No,Yes,No,38,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,One year,No,Credit card (automatic),80.3,3058.65,Yes,1,2071,Loyal Customer,Medium Revenue,Standard Value
2840-XANRC,California,Del Mar,92014,Male,Yes,Yes,No,24,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,93.15,2231.05,Yes,1,2212,Established Customer,Medium Revenue,Standard Value
5020-ZSTTY,California,El Cajon,92020,Female,Yes,No,No,54,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,One year,No,Bank transfer (automatic),82.45,4350.1,Yes,1,4149,Loyal Customer,Medium Revenue,High Value
5804-LEPIM,California,Escondido,92029,Female,Yes,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.35,139.05,Yes,1,2671,New Customer,Medium Revenue,Standard Value
0122-OAHPZ,California,Oceanside,92057,Female,No,No,No,7,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,73.85,511.25,Yes,1,2473,New Customer,Medium Revenue,Standard Value
2868-SNELZ,California,Pala,92059,Female,No,No,No,2,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,80.6,155.8,Yes,1,2683,New Customer,Medium Revenue,Standard Value
4322-RCYMT,California,Palomar Mountain,92060,Male,No,Yes,No,68,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,One year,Yes,Bank transfer (automatic),75.8,5293.95,Yes,1,4903,Long-Term Customer,Medium Revenue,High Value
6680-NENYN,California,Pauma Valley,92061,Female,No,No,No,43,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check,104.6,4759.85,Yes,1,5250,Loyal Customer,High Revenue,Premium Value
1343-EHPYB,California,Ranchita,92066,Male,No,Yes,No,63,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,103.4,6603.0,Yes,1,4352,Long-Term Customer,High Revenue,High Value
2034-GDRCN,California,Valley Center,92082,Female,No,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,90.4,168.2,Yes,1,4157,New Customer,Medium Revenue,High Value
0219-YTZUE,California,San Diego,92103,Male,No,Yes,No,4,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),84.8,371.9,Yes,1,4939,New Customer,Medium Revenue,High Value
0623-IIHUG,California,San Diego,92104,Female,Yes,No,No,21,No,No phone service,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,41.9,840.1,Yes,1,4778,Established Customer,Low Revenue,High Value
4572-DVCGN,California,San Diego,92105,Female,No,No,No,10,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),80.25,846.0,Yes,1,3598,New Customer,Medium Revenue,High Value
9057-MSWCO,California,San Diego,92108,Male,Yes,Yes,No,27,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Credit card (automatic),30.75,805.1,Yes,1,2927,Established Customer,Low Revenue,Standard Value
1010-DIAUQ,California,San Diego,92116,Male,No,No,No,5,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),96.5,492.55,Yes,1,5383,New Customer,Medium Revenue,Premium Value
0259-GBZSH,California,San Diego,92122,Male,No,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,85.65,181.5,Yes,1,3878,New Customer,Medium Revenue,High Value
9601-BRXPO,California,San Diego,92129,Female,No,Yes,No,25,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),104.95,2566.5,Yes,1,3642,Established Customer,High Revenue,High Value
6905-NIQIN,California,San Diego,92154,Male,No,No,No,1,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,50.65,50.65,Yes,1,2431,New Customer,Medium Revenue,Standard Value
5167-ZFFMM,California,Indio,92201,Male,No,No,No,1,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),90.85,90.85,Yes,1,3424,New Customer,Medium Revenue,High Value
4895-TMWIR,California,Indian Wells,92210,Male,Yes,Yes,No,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.95,214.75,Yes,1,5888,New Customer,Low Revenue,Premium Value
0533-BNWKF,California,Palm Desert,92211,Female,Yes,Yes,No,55,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,85.45,4874.7,Yes,1,5502,Loyal Customer,Medium Revenue,Premium Value
6599-CEBNN,California,Desert Hot Springs,92240,Female,No,No,No,34,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),73.95,2524.45,Yes,1,5795,Established Customer,Medium Revenue,Premium Value
0979-PHULV,California,Holtville,92250,Male,No,Yes,No,69,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.45,7007.6,Yes,1,4020,Long-Term Customer,Medium Revenue,High Value
4800-VHZKI,California,Niland,92257,Female,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.9,19.9,Yes,1,3351,New Customer,Low Revenue,High Value
7989-CHGTL,California,North Palm Springs,92258,Male,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.6,19.6,Yes,1,3448,New Customer,Low Revenue,High Value
0334-GDDSO,California,Ocotillo,92259,Male,Yes,No,No,3,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,81.35,233.7,Yes,1,2818,New Customer,Medium Revenue,Standard Value
0578-SKVMF,California,Seeley,92273,Female,No,Yes,No,22,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,83.3,1845.9,Yes,1,3804,Established Customer,Medium Revenue,High Value
5564-NEMQO,California,Thermal,92274,Female,Yes,No,No,1,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.3,75.3,Yes,1,4902,New Customer,Medium Revenue,High Value
9063-ZGTUY,California,Adelanto,92301,Female,No,Yes,No,61,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.4,1182.55,Yes,1,4221,Long-Term Customer,Low Revenue,High Value
2957-LOLHO,California,Apple Valley,92307,Male,No,No,No,12,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),45.4,518.9,Yes,1,2887,New Customer,Low Revenue,Standard Value
7752-XUSCI,California,Crestline,92325,Female,No,No,No,60,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.9,6396.45,Yes,1,4105,Loyal Customer,High Revenue,High Value
4110-PFEUZ,California,Daggett,92327,Female,No,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,69.55,69.55,Yes,1,2792,New Customer,Medium Revenue,Standard Value
0256-LTHVJ,California,Ludlow,92338,Female,No,Yes,No,28,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,81.05,2227.1,Yes,1,5201,Established Customer,Medium Revenue,Premium Value
0880-TKATG,California,Lucerne Valley,92356,Male,No,Yes,No,4,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,101.15,385.9,Yes,1,4417,New Customer,High Revenue,High Value
3811-VBYBZ,California,Lytle Creek,92358,Male,No,No,No,7,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.8,673.25,Yes,1,2031,New Customer,Medium Revenue,Standard Value
4640-UHDOS,California,Phelan,92371,Female,No,Yes,No,13,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,55.95,734.35,Yes,1,4498,Established Customer,Medium Revenue,High Value
3583-EKAPL,California,Redlands,92373,Male,No,No,No,1,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,55.0,55.0,Yes,1,4877,New Customer,Medium Revenue,High Value
