Customer_ID,State,City,Zip Code,Customer_Gender,Senior_Customer,Has_Partner,Has_Dependents,Customer_Tenure_Months,Phone_Service,Multiple_Lines,Digital_Service,Security_Product,Backup_Product,Device_Protection,Customer_Support,Entertainment_Service,Media_Service,Account_Contract,Digital_Billing,Payment_Method,Monthly_Revenue,Lifetime_Revenue,Customer_Churn,Churn_Flag,Customer_Lifetime_Value,Tenure_Category,Revenue_Segment,Customer_Value_Segment,Churn_Probability,Risk_Level,Revenue_At_Risk
0390-DCFDQ,California,Los Alamitos,90720,Female,Yes,Yes,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,70.45,70.45,Yes,1,3964,New Customer,Medium Revenue,High Value,0.6597204,Medium Risk,46.477303647994994
4080-OGPJL,California,San Pedro,90731,Female,No,No,No,8,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,71.15,563.65,Yes,1,2662,New Customer,Medium Revenue,Standard Value,0.23548578,Low Risk,16.754813051968814
2135-RXIHG,California,Carson,90745,Male,No,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.65,45.65,Yes,1,2600,New Customer,Low Revenue,Standard Value,0.5730472,Medium Risk,26.159605625271798
3874-EQOEP,California,Long Beach,90804,Male,No,No,Yes,7,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,95.0,655.5,Yes,1,2786,New Customer,Medium Revenue,Standard Value,0.73852235,Medium Risk,70.15962332487106
0867-MKZVY,California,Altadena,91001,Female,No,Yes,Yes,20,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,82.4,1592.35,Yes,1,5719,Established Customer,Medium Revenue,Premium Value,0.27209973,Low Risk,22.42101802825928
3376-BMGFE,California,Monrovia,91016,Female,No,No,Yes,4,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),70.9,273.0,Yes,1,4287,New Customer,Medium Revenue,High Value,0.6446144,Medium Risk,45.70316085219384
3445-HXXGF,California,Sierra Madre,91024,Male,Yes,Yes,No,58,No,No phone service,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,45.3,2651.2,Yes,1,5444,Loyal Customer,Low Revenue,Premium Value,0.34732953,Low Risk,15.734027579426764
1875-QIVME,California,Tujunga,91042,Female,No,Yes,Yes,2,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.4,242.8,Yes,1,4690,New Customer,High Revenue,High Value,0.7787374,High Risk,81.30018725395203
0691-JVSYA,California,Pasadena,91103,Female,No,Yes,No,53,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),94.85,5000.2,Yes,1,4328,Loyal Customer,Medium Revenue,High Value,0.25771534,Low Risk,24.444300419092176
2656-FMOKZ,California,Pasadena,91106,Female,Yes,No,Yes,15,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,74.45,1145.7,Yes,1,5717,Established Customer,Medium Revenue,Premium Value,0.5763588,Medium Risk,42.909912300109866
2070-FNEXE,California,Pasadena,91107,Female,Yes,No,Yes,7,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),76.45,503.6,Yes,1,4419,New Customer,Medium Revenue,High Value,0.45785996,Medium Risk,35.00339418500662
6317-YPKDH,California,Glendale,91202,Female,No,No,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),29.95,29.95,Yes,1,4534,New Customer,Low Revenue,High Value,0.51422536,Medium Risk,15.401049643754959
9367-WXLCH,California,Glendale,91204,Male,No,No,Yes,8,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),84.5,662.65,Yes,1,2152,New Customer,Medium Revenue,Standard Value,0.6114004,Medium Risk,51.66333594918251
1918-ZBFQJ,California,Glendale,91206,Female,No,No,Yes,13,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,79.25,1111.65,Yes,1,5142,Established Customer,Medium Revenue,Premium Value,0.6389706,Medium Risk,50.63842111825943
1024-GUALD,California,Glendale,91207,Female,No,Yes,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,24.8,24.8,Yes,1,4851,New Customer,Low Revenue,High Value,0.7427429,Medium Risk,18.420023822784426
2472-OVKUP,California,Canoga Park,91304,Male,No,Yes,Yes,6,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,91.0,531.0,Yes,1,2283,New Customer,Medium Revenue,Standard Value,0.48824632,Medium Risk,44.43041527271271
1285-OKIPP,California,Mission Hills,91345,Male,No,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,79.9,79.9,Yes,1,3394,New Customer,Medium Revenue,High Value,0.7503963,High Risk,59.95666527152062
7825-ECJRF,California,Santa Clarita,91350,Female,No,No,Yes,19,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,106.6,1934.45,Yes,1,3764,Established Customer,High Revenue,High Value,0.55719525,Medium Risk,59.39701324701309
7841-TZDMQ,California,Sun Valley,91352,Male,No,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),46.0,84.5,Yes,1,2667,New Customer,Low Revenue,Standard Value,0.57054085,Medium Risk,26.244878888130188
9408-SSNVZ,California,Stevenson Ranch,91381,Female,No,No,Yes,4,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.15,268.35,Yes,1,2227,New Customer,Medium Revenue,Standard Value,0.6237059,Medium Risk,43.7529705375433
0742-MOABM,California,Panorama City,91402,Male,No,Yes,No,4,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,50.05,179.35,Yes,1,3394,New Customer,Medium Revenue,High Value,0.33350548,Low Risk,16.691949348151685
2232-DMLXU,California,Van Nuys,91411,Female,No,Yes,No,1,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,55.2,55.2,Yes,1,3638,New Customer,Medium Revenue,High Value,0.59484947,Medium Risk,32.835690593719484
8937-RDTHP,California,Burbank,91504,Male,No,No,Yes,1,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,84.6,84.6,Yes,1,2484,New Customer,Medium Revenue,Standard Value,0.666664,Medium Risk,56.39977476596832
1251-KRREG,California,North Hollywood,91601,Male,No,No,No,2,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,54.4,114.1,Yes,1,2556,New Customer,Medium Revenue,Standard Value,0.64706725,Medium Risk,35.20045833587646
0094-OIFMO,California,North Hollywood,91605,Female,Yes,No,Yes,11,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.0,1120.3,Yes,1,5980,New Customer,Medium Revenue,Premium Value,0.6961935,Medium Risk,66.13838404417038
9947-OTFQU,California,Covina,91722,Male,Yes,No,No,15,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,74.4,1074.3,Yes,1,4616,Established Customer,Medium Revenue,High Value,0.60549456,Medium Risk,45.04879517555237
0322-YINQP,California,Covina,91723,Male,No,No,No,1,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,48.55,48.55,Yes,1,5687,New Customer,Low Revenue,Premium Value,0.41682947,Medium Risk,20.2370706140995
4629-NRXKX,California,El Monte,91731,Female,No,Yes,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,70.4,147.15,Yes,1,5687,New Customer,Medium Revenue,Premium Value,0.68769354,Medium Risk,48.413624954223636
9514-JDSKI,California,El Monte,91732,Male,Yes,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,40.2,40.2,Yes,1,5828,New Customer,Low Revenue,Premium Value,0.717294,Medium Risk,28.83521790504456
4959-JOSRX,California,La Puente,91744,Female,No,Yes,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),44.6,80.55,Yes,1,4884,New Customer,Low Revenue,High Value,0.7190194,Medium Risk,32.06826581954956
7273-TEFQD,California,La Puente,91746,Male,Yes,No,No,3,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,41.15,132.2,Yes,1,2314,New Customer,Low Revenue,Standard Value,0.76107866,High Risk,31.318386682868002
3606-TWKGI,California,Rowland Heights,91748,Male,Yes,No,No,13,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.9,1364.3,Yes,1,2494,Established Customer,High Revenue,Standard Value,0.76478004,High Risk,81.75498676300049
6323-AYBRX,California,Ontario,91762,Male,No,No,No,59,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.35,1099.6,Yes,1,5084,Loyal Customer,Low Revenue,Premium Value,0.036392607,Low Risk,0.7041969414800406
4385-GZQXV,California,Ontario,91764,Female,Yes,No,No,16,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,94.45,1511.2,Yes,1,3810,Established Customer,Medium Revenue,High Value,0.5409665,Medium Risk,51.09428694248199
6366-ZGQGL,California,Pomona,91766,Male,No,No,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),24.8,24.8,Yes,1,5087,New Customer,Low Revenue,Premium Value,0.56722224,Medium Risk,14.067111492156982
5940-AHUHD,California,Pomona,91768,Male,No,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,70.6,70.6,Yes,1,3338,New Customer,Medium Revenue,High Value,0.7200968,Medium Risk,50.83883595466613
6432-TWQLB,California,Rosemead,91770,Male,No,Yes,No,5,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,85.4,401.1,Yes,1,3676,New Customer,Medium Revenue,High Value,0.808147,High Risk,69.01575492620469
4484-GLZOU,California,San Dimas,91773,Female,No,Yes,No,52,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.05,5624.85,Yes,1,4839,Loyal Customer,High Revenue,High Value,0.6220666,Medium Risk,65.34809811711311
9512-UIBFX,California,West Covina,91791,Male,No,Yes,No,18,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,95.15,1779.95,Yes,1,4643,Established Customer,Medium Revenue,High Value,0.4412913,Medium Risk,41.9888674274087
5583-SXDAG,California,Alhambra,91803,Male,No,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,70.0,70.0,Yes,1,4094,New Customer,Medium Revenue,High Value,0.7978488,High Risk,55.84941744804382
3488-PGMQJ,California,Alpine,91901,Male,Yes,No,No,8,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,74.5,606.55,Yes,1,4345,New Customer,Medium Revenue,High Value,0.604395,Medium Risk,45.027425438165665
3580-REOAC,California,Bonita,91902,Male,No,No,No,10,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),44.85,435.4,Yes,1,4061,New Customer,Low Revenue,High Value,0.29040635,Low Risk,13.024724632501602
7534-BFESC,California,Boulevard,91905,Male,Yes,No,No,24,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.1,1712.7,Yes,1,2018,Established Customer,Medium Revenue,Standard Value,0.41211158,Medium Risk,31.36169126629829
6390-DSAZX,California,Guatay,91931,Female,No,No,No,1,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,73.6,73.6,Yes,1,2565,New Customer,Medium Revenue,Standard Value,0.6482597,Medium Risk,47.711913871765134
8098-LLAZX,California,Jacumba,91934,Female,Yes,No,No,4,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,396.1,Yes,1,3677,New Customer,Medium Revenue,High Value,0.82123125,High Risk,78.3865224301815
0265-EDXBD,California,Mount Laguna,91948,Male,Yes,Yes,No,32,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.9,2303.35,Yes,1,4105,Established Customer,Medium Revenue,High Value,0.57653457,Medium Risk,43.18243923783302
7563-BIUPC,California,Borrego Springs,92004,Male,No,No,No,5,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.6,415.55,Yes,1,5715,New Customer,Medium Revenue,Premium Value,0.7097902,Medium Risk,57.20909252166748
2321-OMBXY,California,Carlsbad,92009,Female,No,Yes,No,38,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,One year,No,Credit card (automatic),80.3,3058.65,Yes,1,2071,Loyal Customer,Medium Revenue,Standard Value,0.1881055,Low Risk,15.104871150851249
2840-XANRC,California,Del Mar,92014,Male,Yes,Yes,No,24,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,93.15,2231.05,Yes,1,2212,Established Customer,Medium Revenue,Standard Value,0.62021583,Medium Risk,57.77310486137867
5020-ZSTTY,California,El Cajon,92020,Female,Yes,No,No,54,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,One year,No,Bank transfer (automatic),82.45,4350.1,Yes,1,4149,Loyal Customer,Medium Revenue,High Value,0.08773742,Low Risk,7.233950172737241
5804-LEPIM,California,Escondido,92029,Female,Yes,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.35,139.05,Yes,1,2671,New Customer,Medium Revenue,Standard Value,0.6604134,Medium Risk,46.460081595182416
0122-OAHPZ,California,Oceanside,92057,Female,No,No,No,7,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,73.85,511.25,Yes,1,2473,New Customer,Medium Revenue,Standard Value,0.7321643,Medium Risk,54.070335277915
2868-SNELZ,California,Pala,92059,Female,No,No,No,2,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,80.6,155.8,Yes,1,2683,New Customer,Medium Revenue,Standard Value,0.6586535,Medium Risk,53.08747191429138
4322-RCYMT,California,Palomar Mountain,92060,Male,No,Yes,No,68,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,One year,Yes,Bank transfer (automatic),75.8,5293.95,Yes,1,4903,Long-Term Customer,Medium Revenue,High Value,0.15771867,Low Risk,11.955075439810752
6680-NENYN,California,Pauma Valley,92061,Female,No,No,No,43,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check,104.6,4759.85,Yes,1,5250,Loyal Customer,High Revenue,Premium Value,0.29670203,Low Risk,31.035032057762145
1343-EHPYB,California,Ranchita,92066,Male,No,Yes,No,63,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,103.4,6603.0,Yes,1,4352,Long-Term Customer,High Revenue,High Value,0.5887756,Medium Risk,60.879394471645355
2034-GDRCN,California,Valley Center,92082,Female,No,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,90.4,168.2,Yes,1,4157,New Customer,Medium Revenue,High Value,0.76337147,High Risk,69.00878067016602
0219-YTZUE,California,San Diego,92103,Male,No,Yes,No,4,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),84.8,371.9,Yes,1,4939,New Customer,Medium Revenue,High Value,0.852585,High Risk,72.29920949935912
0623-IIHUG,California,San Diego,92104,Female,Yes,No,No,21,No,No phone service,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,41.9,840.1,Yes,1,4778,Established Customer,Low Revenue,High Value,0.65272087,Medium Risk,27.349004393815992
4572-DVCGN,California,San Diego,92105,Female,No,No,No,10,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),80.25,846.0,Yes,1,3598,New Customer,Medium Revenue,High Value,0.73366123,Medium Risk,58.87631405889988
9057-MSWCO,California,San Diego,92108,Male,Yes,Yes,No,27,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Credit card (automatic),30.75,805.1,Yes,1,2927,Established Customer,Low Revenue,Standard Value,0.3639865,Low Risk,11.19258463382721
1010-DIAUQ,California,San Diego,92116,Male,No,No,No,5,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),96.5,492.55,Yes,1,5383,New Customer,Medium Revenue,Premium Value,0.77161187,High Risk,74.46054539084435
0259-GBZSH,California,San Diego,92122,Male,No,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,85.65,181.5,Yes,1,3878,New Customer,Medium Revenue,High Value,0.90162665,High Risk,77.22432227432728
9601-BRXPO,California,San Diego,92129,Female,No,Yes,No,25,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),104.95,2566.5,Yes,1,3642,Established Customer,High Revenue,High Value,0.7468955,Medium Risk,78.38668189346791
6905-NIQIN,California,San Diego,92154,Male,No,No,No,1,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,50.65,50.65,Yes,1,2431,New Customer,Medium Revenue,Standard Value,0.609656,Medium Risk,30.879075199365616
5167-ZFFMM,California,Indio,92201,Male,No,No,No,1,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),90.85,90.85,Yes,1,3424,New Customer,Medium Revenue,High Value,0.861864,High Risk,78.30034174323082
