Alert_ID,Date,Alert_Type,Severity,Source,Department,Analyst,Resolution_Time_Minutes,False_Positive,Risk_Score,SLA_Met,Device_Name,Status
61,2026-02-03 16:28:00,Failed Login,Medium,VPN,Executive,Clark,50,Yes,44,Yes,HOST-1264,Resolved
62,2026-02-04 09:52:00,Failed Login,High,Identity Provider,Engineering,Tony,128,No,65,Yes,HOST-1006,Resolved
63,2026-06-18 09:51:00,Phishing,Medium,Email,Engineering,Steve,58,No,39,Yes,HOST-1047,Resolved
64,2026-05-25 16:22:00,Malware,Medium,Endpoint,Engineering,Bruce,62,No,41,Yes,HOST-1143,Closed
65,2026-06-16 08:51:00,Failed Login,Medium,VPN,Engineering,Bruce,82,Yes,36,Yes,HOST-1336,Closed
66,2026-03-27 21:50:00,Failed Login,Low,VPN,Engineering,Peter,32,Yes,16,Yes,HOST-1110,Resolved
67,2026-06-07 12:21:00,Phishing,Medium,Email,Human Resources,Peter,88,Yes,44,Yes,HOST-1055,Resolved
68,2026-06-09 17:54:00,Phishing,Low,Email,Engineering,Peter,26,Yes,11,Yes,HOST-1324,Resolved
69,2026-03-05 17:18:00,Firewall Alert,Medium,Firewall,Engineering,Tony,45,No,55,Yes,HOST-1241,In Progress
70,2026-03-16 05:01:00,Phishing,Medium,Email,Engineering,Peter,84,Yes,32,Yes,HOST-1348,In Progress
71,2026-06-23 10:26:00,Phishing,Critical,Email,Engineering,Clark,707,Yes,94,Yes,HOST-1052,Resolved
72,2026-06-09 07:05:00,Phishing,Low,Email,Engineering,Peter,32,Yes,15,Yes,HOST-1310,Closed
73,2026-05-14 15:16:00,Failed Login,Low,VPN,Engineering,Steve,36,No,30,Yes,HOST-1057,Resolved
74,2026-03-03 11:17:00,Phishing,High,Email,Engineering,Peter,168,Yes,78,Yes,HOST-1226,Resolved
75,2026-06-05 14:20:00,Phishing,Low,Email,Finance,Steve,15,No,26,Yes,HOST-1299,In Progress
76,2026-01-23 13:43:00,Failed Login,Medium,VPN,Engineering,Bruce,78,Yes,38,Yes,HOST-1320,Resolved
77,2026-03-05 14:12:00,Failed Login,Low,Identity Provider,Engineering,Clark,19,Yes,18,Yes,HOST-1089,In Progress
78,2026-04-16 12:21:00,Malware,Low,Endpoint,Engineering,Steve,21,No,8,Yes,HOST-1269,Resolved
79,2026-06-10 11:19:00,Phishing,Low,Email,Engineering,Clark,38,No,9,Yes,HOST-1294,Resolved
80,2026-02-27 12:02:00,Firewall Alert,Low,Firewall,Engineering,Tony,29,Yes,21,Yes,HOST-1294,In Progress
81,2026-03-18 14:39:00,Failed Login,High,VPN,Operations,Clark,164,No,72,Yes,HOST-1130,Resolved
82,2026-01-06 18:46:00,Failed Login,High,VPN,Finance,Clark,228,Yes,77,Yes,HOST-1237,Resolved
83,2026-05-06 13:38:00,Phishing,Low,Email,Operations,Peter,34,Yes,5,Yes,HOST-1281,Resolved
84,2026-06-01 15:50:00,Malware,Low,Endpoint,Finance,Bruce,25,No,15,Yes,HOST-1204,Resolved
85,2026-06-15 12:34:00,Phishing,Low,Email,Operations,Peter,15,No,15,Yes,HOST-1225,Closed
86,2026-05-13 09:50:00,Malware,Low,Endpoint,Engineering,Peter,20,No,23,Yes,HOST-1207,Closed
87,2026-01-26 10:44:00,Phishing,Low,Email,Engineering,Peter,27,No,29,No,HOST-1221,Resolved
88,2026-01-21 19:51:00,Phishing,Low,Email,Operations,Clark,29,No,10,Yes,HOST-1228,Resolved
89,2026-01-20 11:40:00,Failed Login,Low,VPN,Engineering,Bruce,33,Yes,13,Yes,HOST-1248,Resolved
90,2026-01-23 09:16:00,Phishing,Low,Email,Engineering,Tony,17,Yes,23,Yes,HOST-1270,Resolved
91,2026-01-19 08:49:00,Phishing,Low,Email,Finance,Peter,25,Yes,26,Yes,HOST-1346,Resolved
92,2026-05-28 07:05:00,Phishing,Medium,Email,Engineering,Peter,88,Yes,38,Yes,HOST-1109,Closed
93,2026-04-08 04:42:00,Phishing,Low,Email,Engineering,Peter,40,No,23,Yes,HOST-1189,Closed
94,2026-05-26 23:13:00,Phishing,High,Email,Executive,Clark,168,No,78,Yes,HOST-1050,Resolved
95,2026-05-23 13:29:00,Phishing,High,Email,Engineering,Peter,178,Yes,77,Yes,HOST-1066,Resolved
96,2026-02-27 20:26:00,Failed Login,Low,VPN,Engineering,Peter,15,Yes,9,Yes,HOST-1242,Closed
97,2026-03-05 14:33:00,Failed Login,Low,VPN,Engineering,Clark,30,No,19,Yes,HOST-1344,Resolved
98,2026-04-16 12:40:00,Phishing,Low,Email,Operations,Clark,35,No,13,Yes,HOST-1025,Closed
99,2026-03-02 07:33:00,Phishing,Low,Email,Operations,Peter,16,Yes,24,Yes,HOST-1232,Resolved
100,2026-01-22 18:09:00,Malware,Low,Endpoint,Executive,Bruce,15,No,23,Yes,HOST-1289,Closed
101,2026-03-03 22:04:00,Malware,Low,Endpoint,Operations,Bruce,31,No,18,Yes,HOST-1305,Resolved
102,2026-01-23 12:13:00,Phishing,High,Email,Engineering,Peter,137,Yes,76,No,HOST-1123,Resolved
103,2026-05-11 08:20:00,Firewall Alert,Low,Firewall,Finance,Steve,32,No,15,Yes,HOST-1177,Resolved
104,2026-02-13 08:54:00,Privilege Escalation,Low,VPN,Engineering,Bruce,18,No,8,No,HOST-1168,Closed
105,2026-05-03 09:46:00,Failed Login,Low,Identity Provider,Engineering,Peter,37,Yes,29,Yes,HOST-1154,Resolved
106,2026-06-28 10:03:00,Phishing,Medium,Email,Executive,Peter,87,No,48,Yes,HOST-1137,Resolved
107,2026-03-06 19:55:00,Firewall Alert,Low,Firewall,Engineering,Clark,38,No,18,Yes,HOST-1189,Closed
108,2026-02-18 08:14:00,Phishing,Low,Email,Operations,Clark,21,Yes,10,Yes,HOST-1022,Closed
109,2026-01-20 10:25:00,Malware,Low,Endpoint,Finance,Bruce,33,No,20,Yes,HOST-1044,Closed
110,2026-01-13 14:18:00,Phishing,Low,Email,Operations,Peter,38,Yes,15,Yes,HOST-1157,Closed
111,2026-02-10 20:24:00,Failed Login,Medium,VPN,Engineering,Tony,54,Yes,48,Yes,HOST-1140,Resolved
112,2026-03-24 08:11:00,Phishing,Low,Email,Engineering,Peter,19,Yes,13,Yes,HOST-1175,Resolved
113,2026-04-16 13:02:00,Failed Login,Critical,VPN,Operations,Peter,485,Yes,87,Yes,HOST-1236,Resolved
114,2026-01-07 10:49:00,Phishing,Critical,Email,Engineering,Tony,462,Yes,100,Yes,HOST-1339,Resolved
115,2026-05-13 08:52:00,Phishing,Low,Email,Engineering,Peter,36,No,27,Yes,HOST-1004,Resolved
116,2026-01-13 11:04:00,Failed Login,Medium,VPN,Human Resources,Tony,87,No,39,Yes,HOST-1059,Resolved
117,2026-01-30 13:29:00,Failed Login,High,Identity Provider,Finance,Steve,239,Yes,84,Yes,HOST-1064,Resolved
118,2026-04-24 13:26:00,Phishing,High,Email,Engineering,Peter,130,No,71,Yes,HOST-1076,Closed
119,2026-03-09 09:06:00,Failed Login,Low,VPN,Engineering,Bruce,36,Yes,6,Yes,HOST-1131,In Progress
120,2026-04-13 09:49:00,Failed Login,Low,Identity Provider,Engineering,Peter,39,Yes,5,Yes,HOST-1178,Resolved
121,2026-01-22 08:57:00,Phishing,Low,Email,Engineering,Peter,39,No,20,Yes,HOST-1304,Resolved
122,2026-05-26 08:14:00,Phishing,Medium,Email,Operations,Peter,46,Yes,42,Yes,HOST-1133,Resolved
123,2026-04-08 11:44:00,Failed Login,Medium,Identity Provider,Operations,Steve,61,Yes,41,Yes,HOST-1019,Resolved
124,2026-05-05 14:23:00,Failed Login,High,VPN,Operations,Bruce,216,Yes,72,Yes,HOST-1054,In Progress
125,2026-03-02 07:45:00,Phishing,Medium,Email,Engineering,Clark,59,Yes,40,Yes,HOST-1041,Closed
126,2026-02-11 12:00:00,Phishing,Medium,Email,Engineering,Peter,86,Yes,60,Yes,HOST-1312,Resolved
127,2026-05-25 07:28:00,Firewall Alert,Medium,Firewall,Finance,Clark,81,No,34,Yes,HOST-1231,Closed
128,2026-01-30 10:02:00,Phishing,Medium,Email,Finance,Peter,82,No,59,Yes,HOST-1190,Closed
129,2026-02-23 10:46:00,Phishing,Medium,Email,Operations,Clark,69,No,44,Yes,HOST-1027,Closed
130,2026-04-13 11:49:00,Privilege Escalation,Medium,Endpoint,Engineering,Bruce,87,No,49,No,HOST-1302,Closed
131,2026-02-20 13:46:00,Firewall Alert,Medium,Firewall,Engineering,Tony,87,No,56,Yes,HOST-1337,Closed
132,2026-04-08 14:49:00,Phishing,Low,Email,Finance,Clark,30,Yes,26,Yes,HOST-1298,Closed
133,2026-05-20 17:15:00,Failed Login,High,VPN,Operations,Tony,133,No,82,Yes,HOST-1208,Closed
134,2026-03-12 15:39:00,Data Exfiltration,Medium,DLP,Finance,Peter,90,No,38,Yes,HOST-1270,Resolved
135,2026-02-20 10:39:00,Phishing,Low,Email,Engineering,Peter,36,Yes,26,Yes,HOST-1130,Resolved
136,2026-03-13 10:18:00,Phishing,Low,Email,Engineering,Peter,32,No,10,Yes,HOST-1027,In Progress
137,2026-06-05 13:17:00,Phishing,Low,Email,Finance,Peter,18,No,6,Yes,HOST-1203,Closed
138,2026-03-24 08:14:00,Failed Login,Medium,Identity Provider,Engineering,Tony,74,No,49,Yes,HOST-1013,Resolved
139,2026-04-16 16:41:00,Privilege Escalation,Low,Endpoint,Engineering,Peter,27,No,12,Yes,HOST-1102,Closed
140,2026-03-02 16:19:00,Firewall Alert,Low,Firewall,Engineering,Tony,20,No,24,Yes,HOST-1332,Resolved
141,2026-04-30 10:35:00,Malware,Low,Endpoint,Engineering,Steve,16,No,9,Yes,HOST-1048,Resolved
142,2026-02-06 11:00:00,Malware,Low,Endpoint,Operations,Tony,30,No,14,Yes,HOST-1220,Resolved
143,2026-04-22 16:08:00,Malware,Medium,Endpoint,Engineering,Bruce,45,No,46,Yes,HOST-1287,Closed
144,2026-02-02 03:02:00,Phishing,Critical,Email,Finance,Bruce,713,Yes,93,Yes,HOST-1077,Resolved
145,2026-04-22 05:02:00,Phishing,Low,Email,Finance,Steve,15,Yes,28,Yes,HOST-1132,Closed
146,2026-06-30 15:35:00,Failed Login,Medium,VPN,Executive,Peter,64,No,59,Yes,HOST-1302,Resolved
147,2026-01-14 08:33:00,Failed Login,Low,Identity Provider,Operations,Steve,29,Yes,7,Yes,HOST-1075,Closed
148,2026-02-18 13:58:00,Phishing,Medium,Email,Engineering,Peter,63,Yes,57,Yes,HOST-1012,Resolved
149,2026-03-24 08:36:00,Phishing,Low,Email,Engineering,Tony,15,Yes,23,Yes,HOST-1128,Closed
150,2026-04-06 10:31:00,Phishing,High,Email,Engineering,Clark,205,No,71,No,HOST-1071,Closed
151,2026-03-30 12:17:00,Failed Login,Medium,VPN,Engineering,Tony,80,No,42,Yes,HOST-1307,Resolved
152,2026-04-04 12:39:00,Failed Login,Low,Identity Provider,Operations,Bruce,32,Yes,17,Yes,HOST-1198,Closed
153,2026-05-04 13:01:00,Failed Login,Medium,Identity Provider,Engineering,Peter,89,Yes,49,No,HOST-1060,Resolved
154,2026-05-06 07:35:00,Failed Login,Medium,Identity Provider,Engineering,Bruce,53,Yes,60,Yes,HOST-1151,Closed
155,2026-06-29 01:27:00,Phishing,Critical,Email,Operations,Tony,575,Yes,96,No,HOST-1291,Resolved
156,2026-02-16 14:53:00,Failed Login,Low,VPN,Human Resources,Steve,38,Yes,8,Yes,HOST-1321,Closed
157,2026-06-02 08:19:00,Failed Login,Low,Identity Provider,Engineering,Bruce,28,No,20,Yes,HOST-1138,Resolved
158,2026-01-23 14:44:00,Failed Login,Medium,VPN,Finance,Steve,57,Yes,51,Yes,HOST-1044,Resolved
159,2026-01-29 12:43:00,Phishing,Medium,Email,Engineering,Peter,83,Yes,46,Yes,HOST-1294,Resolved
160,2026-01-23 10:22:00,Privilege Escalation,High,DLP,Finance,Tony,159,No,63,Yes,HOST-1263,Resolved
161,2026-04-01 16:13:00,Malware,Medium,Endpoint,Finance,Tony,59,No,45,Yes,HOST-1106,Resolved
162,2026-02-18 10:52:00,Phishing,Medium,Email,Operations,Peter,54,Yes,40,Yes,HOST-1141,In Progress
163,2026-02-20 12:40:00,Phishing,Low,Email,Finance,Peter,36,No,10,Yes,HOST-1302,Resolved
164,2026-01-09 10:34:00,Phishing,Low,Email,Engineering,Bruce,25,Yes,22,Yes,HOST-1319,Resolved
165,2026-03-27 07:34:00,Failed Login,High,VPN,Operations,Bruce,224,Yes,67,Yes,HOST-1156,Resolved
166,2026-05-09 13:34:00,Phishing,Medium,Email,Engineering,Clark,83,Yes,40,Yes,HOST-1171,Resolved
167,2026-02-02 12:16:00,Phishing,High,Email,Operations,Steve,151,Yes,63,Yes,HOST-1238,Closed
168,2026-03-17 05:34:00,Phishing,Medium,Email,Engineering,Tony,85,No,44,Yes,HOST-1031,Resolved
169,2026-01-12 14:08:00,Phishing,High,Email,Finance,Bruce,170,No,66,Yes,HOST-1032,Resolved
170,2026-01-27 13:03:00,Malware,Low,Endpoint,Engineering,Bruce,33,No,20,Yes,HOST-1181,Resolved
171,2026-04-08 10:49:00,Failed Login,Low,Identity Provider,Operations,Peter,32,Yes,23,Yes,HOST-1078,Resolved
172,2026-04-24 07:06:00,Malware,Critical,Endpoint,Engineering,Bruce,372,No,100,Yes,HOST-1302,Closed
173,2026-04-09 18:50:00,Phishing,High,Email,Engineering,Peter,152,Yes,85,Yes,HOST-1193,Resolved
174,2026-02-23 15:50:00,Malware,High,Endpoint,Engineering,Peter,154,No,80,Yes,HOST-1240,Resolved
175,2026-01-13 09:59:00,Failed Login,Low,Identity Provider,Executive,Tony,28,Yes,23,No,HOST-1335,Resolved
176,2026-05-12 09:42:00,Privilege Escalation,Low,Firewall,Engineering,Peter,29,No,19,Yes,HOST-1150,Resolved
177,2026-01-08 12:15:00,Failed Login,Medium,Identity Provider,Engineering,Clark,66,Yes,54,Yes,HOST-1044,Resolved
178,2026-06-02 16:46:00,Phishing,Medium,Email,Engineering,Peter,65,No,51,Yes,HOST-1077,Resolved
179,2026-06-12 15:57:00,Phishing,Low,Email,Operations,Peter,32,No,30,Yes,HOST-1030,In Progress
180,2026-05-18 09:28:00,Failed Login,Low,Identity Provider,Operations,Bruce,24,Yes,8,Yes,HOST-1294,Resolved
181,2026-06-29 05:14:00,Phishing,Low,Email,Operations,Peter,34,Yes,20,Yes,HOST-1239,Resolved
182,2026-01-28 10:27:00,Privilege Escalation,Low,Endpoint,Finance,Peter,36,No,20,Yes,HOST-1137,Resolved
183,2026-03-30 10:40:00,Failed Login,Medium,Identity Provider,Engineering,Clark,83,Yes,44,No,HOST-1211,Resolved
184,2026-03-10 09:52:00,Failed Login,Low,VPN,Engineering,Tony,15,Yes,30,Yes,HOST-1127,Resolved
185,2026-01-05 08:14:00,Phishing,Medium,Email,Engineering,Peter,88,No,54,Yes,HOST-1041,Resolved
186,2026-01-29 01:58:00,Phishing,Low,Email,Engineering,Peter,37,No,20,Yes,HOST-1143,Resolved
187,2026-01-30 09:29:00,Failed Login,Critical,Identity Provider,Engineering,Bruce,425,Yes,91,Yes,HOST-1151,Resolved
188,2026-05-20 12:46:00,Failed Login,Low,Identity Provider,Operations,Bruce,16,Yes,14,Yes,HOST-1125,Resolved
189,2026-04-20 15:43:00,Phishing,Medium,Email,Engineering,Peter,78,No,52,Yes,HOST-1327,Resolved
190,2026-04-25 12:22:00,Failed Login,Medium,Identity Provider,Engineering,Bruce,80,Yes,46,Yes,HOST-1079,In Progress
191,2026-01-10 10:12:00,Failed Login,Low,Identity Provider,Engineering,Bruce,32,Yes,23,Yes,HOST-1175,In Progress
192,2026-06-11 10:03:00,Firewall Alert,Medium,Firewall,Engineering,Bruce,61,No,41,Yes,HOST-1071,Closed
193,2026-04-03 13:29:00,Failed Login,Low,VPN,Engineering,Clark,37,Yes,7,Yes,HOST-1114,Resolved
194,2026-05-05 12:42:00,Malware,High,Endpoint,Human Resources,Bruce,185,Yes,78,Yes,HOST-1037,In Progress
195,2026-04-01 10:14:00,Failed Login,High,Identity Provider,Finance,Clark,159,Yes,63,Yes,HOST-1089,Resolved
196,2026-06-11 05:58:00,Phishing,Low,Email,Operations,Peter,20,No,22,Yes,HOST-1118,Closed
197,2026-06-08 10:17:00,Failed Login,Medium,Identity Provider,Engineering,Steve,78,Yes,59,Yes,HOST-1257,Closed
198,2026-01-21 08:30:00,Phishing,Low,Email,Finance,Clark,26,Yes,8,Yes,HOST-1226,Closed
199,2026-01-01 07:44:00,Failed Login,Low,VPN,Engineering,Clark,23,Yes,13,Yes,HOST-1255,Resolved
200,2026-05-12 12:34:00,Firewall Alert,Medium,Firewall,Engineering,Peter,51,Yes,42,Yes,HOST-1246,Resolved
201,2026-06-12 08:36:00,Failed Login,Low,Identity Provider,Engineering,Tony,19,No,24,Yes,HOST-1123,Resolved
202,2026-06-13 12:39:00,Phishing,Low,Email,Engineering,Peter,24,No,5,Yes,HOST-1244,Resolved
203,2026-03-25 12:44:00,Failed Login,High,Identity Provider,Engineering,Steve,232,Yes,78,Yes,HOST-1327,Closed
204,2026-01-17 13:05:00,Phishing,Medium,Email,Operations,Peter,75,No,34,Yes,HOST-1011,Closed
205,2026-03-26 17:21:00,Failed Login,Low,VPN,Operations,Steve,26,Yes,9,Yes,HOST-1034,Resolved
206,2026-05-18 11:18:00,Phishing,Medium,Email,Finance,Peter,60,Yes,55,No,HOST-1269,In Progress
207,2026-06-27 13:04:00,Malware,Medium,Endpoint,Executive,Bruce,84,No,38,Yes,HOST-1033,In Progress
208,2026-02-17 09:21:00,Failed Login,Critical,Identity Provider,Engineering,Clark,684,No,95,Yes,HOST-1025,Resolved
209,2026-04-15 10:45:00,Failed Login,Low,Identity Provider,Executive,Bruce,29,Yes,17,Yes,HOST-1002,Closed
210,2026-06-03 17:42:00,Phishing,Medium,Email,Operations,Peter,67,No,38,Yes,HOST-1060,Resolved
211,2026-06-02 13:03:00,Failed Login,Low,VPN,Operations,Peter,35,Yes,8,Yes,HOST-1284,Closed
212,2026-06-12 14:55:00,Malware,Medium,Endpoint,Engineering,Peter,71,No,45,Yes,HOST-1251,In Progress
213,2026-05-21 11:29:00,Malware,Low,Endpoint,Human Resources,Tony,18,No,16,Yes,HOST-1265,Closed
214,2026-03-23 06:48:00,Phishing,Medium,Email,Engineering,Clark,83,No,40,Yes,HOST-1267,In Progress
215,2026-01-08 12:34:00,Phishing,High,Email,Executive,Peter,187,Yes,79,Yes,HOST-1248,Resolved
216,2026-05-09 14:40:00,Phishing,Low,Email,Engineering,Bruce,39,Yes,16,No,HOST-1173,Resolved
217,2026-06-05 13:13:00,Phishing,Low,Email,Engineering,Peter,36,No,29,Yes,HOST-1011,Resolved
218,2026-05-06 12:23:00,Privilege Escalation,Low,Email,Operations,Steve,15,No,16,Yes,HOST-1272,Resolved
219,2026-01-15 12:00:00,Malware,Critical,Endpoint,Engineering,Tony,621,No,90,Yes,HOST-1150,Resolved
220,2026-06-08 11:44:00,Firewall Alert,Low,Firewall,Finance,Bruce,33,No,21,Yes,HOST-1302,In Progress
221,2026-05-20 17:33:00,Phishing,Medium,Email,Engineering,Peter,48,Yes,33,Yes,HOST-1168,Resolved
222,2026-06-24 16:03:00,Phishing,Low,Email,Engineering,Peter,26,No,17,Yes,HOST-1129,Resolved
223,2026-01-27 13:43:00,Phishing,Medium,Email,Finance,Peter,82,No,46,Yes,HOST-1028,Resolved
224,2026-06-12 17:44:00,Phishing,Low,Email,Engineering,Peter,36,No,20,Yes,HOST-1308,Closed
225,2026-03-27 08:25:00,Phishing,Low,Email,Operations,Peter,25,Yes,19,Yes,HOST-1007,Resolved
226,2026-02-04 09:39:00,Phishing,Low,Email,Engineering,Peter,38,No,24,Yes,HOST-1349,Resolved
227,2026-06-04 18:48:00,Data Exfiltration,Medium,DLP,Engineering,Steve,66,No,56,Yes,HOST-1115,Resolved
228,2026-02-02 19:07:00,Failed Login,Low,Identity Provider,Engineering,Clark,32,Yes,23,Yes,HOST-1031,Resolved
229,2026-06-11 12:44:00,Failed Login,Critical,Identity Provider,Engineering,Tony,621,Yes,92,Yes,HOST-1262,Closed
230,2026-01-26 11:20:00,Phishing,Low,Email,Executive,Peter,40,No,17,Yes,HOST-1324,Resolved
231,2026-06-01 10:32:00,Data Exfiltration,High,DLP,Finance,Clark,200,No,62,Yes,HOST-1135,Resolved
232,2026-05-09 17:19:00,Phishing,Medium,Email,Engineering,Peter,70,Yes,42,No,HOST-1220,Resolved
